,name,basin,year,t0,tf,findex
153,MEKKHALA,['WP'],2020,2020-08-09 12:00:00.000040,2020-08-11 00:00:00.000040,269
154,NOT_NAMED,['WP'],2020,2020-08-09 12:00:00.000040,2020-08-13 00:00:00.000040,270
155,NOT_NAMED,['EP'],2020,2020-08-11 06:00:00.000040,2020-08-17 18:00:00.000040,271
156,KYLE,['NA'],2020,2020-08-13 06:00:00.000040,2020-08-16 06:00:00.000040,272
157,GENEVIEVE,"['EP', 'NA']",2020,2020-08-14 06:00:00.000040,2020-08-21 18:00:00.000040,273
158,FAUSTO,['EP'],2020,2020-08-13 12:00:00.000040,2020-08-17 12:00:00.000040,274
159,MARCO,['NA'],2020,2020-08-15 00:00:00.000040,2020-08-25 06:00:00.000040,275
160,LAURA,['NA'],2020,2020-08-16 18:00:00.000040,2020-08-29 06:00:00.000040,276
161,HIGOS,['WP'],2020,2020-08-17 18:00:00.000040,2020-08-19 06:00:00.000040,277
162,BAVI,['WP'],2020,2020-08-21 18:00:00.000040,2020-08-27 12:00:00.000040,278
163,HERNAN,['EP'],2020,2020-08-24 00:00:00.000040,2020-08-28 18:00:00.000040,279
164,ISELLE,['EP'],2020,2020-08-24 12:00:00.000040,2020-08-30 18:00:00.000040,280
165,MAYSAK,['WP'],2020,2020-08-28 00:00:00.000040,2020-09-03 06:00:00.000040,281
166,OMAR,['NA'],2020,2020-08-30 00:00:00.000040,2020-09-05 18:00:00.000040,282
167,NANA,['NA'],2020,2020-08-30 12:00:00.000040,2020-09-04 00:00:00.000040,283
168,HAISHEN,['WP'],2020,2020-08-31 12:00:00.000040,2020-09-07 12:00:00.000040,284
169,PAULETTE,['NA'],2020,2020-09-03 12:00:00.000040,2020-09-23 18:00:00.000040,285
170,JULIO,['EP'],2020,2020-09-03 12:00:00.000040,2020-09-07 06:00:00.000040,286
171,RENE,['NA'],2020,2020-09-05 12:00:00.000040,2020-09-14 18:00:00.000040,287
172,TEDDY,['NA'],2020,2020-09-10 06:00:00.000040,2020-09-24 00:00:00.000040,288
173,KARINA,['EP'],2020,2020-09-10 00:00:00.000040,2020-09-17 00:00:00.000040,289
174,SALLY,['NA'],2020,2020-09-10 06:00:00.000040,2020-09-18 00:00:00.000040,290
175,VICKY,['NA'],2020,2020-09-11 12:00:00.000040,2020-09-17 18:00:00.000040,291
176,NOT_NAMED,['WP'],2020,2020-09-11 18:00:00.000040,2020-09-12 12:00:00.000040,292
177,WILFRED,['NA'],2020,2020-09-14 18:00:00.000040,2020-09-21 00:00:00.000040,293
178,ALPHA,['NA'],2020,2020-09-14 12:00:00.000040,2020-09-19 00:00:00.000040,294
179,NOUL,['WP'],2020,2020-09-15 18:00:00.000040,2020-09-18 12:00:00.000040,295
180,BETA,['NA'],2020,2020-09-16 06:00:00.000040,2020-09-25 06:00:00.000040,296
181,LOWELL,['EP'],2020,2020-09-19 06:00:00.000040,2020-09-25 18:00:00.000040,297
182,DOLPHIN,['WP'],2020,2020-09-20 12:00:00.000040,2020-09-25 00:00:00.000040,298
183,MARIE,['EP'],2020,2020-09-26 18:00:00.000040,2020-10-07 00:00:00.000040,299
184,KUJIRA,['WP'],2020,2020-09-26 18:00:00.000040,2020-09-30 06:00:00.000040,300
185,GAMMA,['NA'],2020,2020-09-30 12:00:00.000040,2020-10-06 00:00:00.000040,301
186,NORBERT,['EP'],2020,2020-10-02 18:00:00.000040,2020-10-15 06:00:00.000040,302
187,DELTA,['NA'],2020,2020-10-02 12:00:00.000040,2020-10-12 00:00:00.000040,303
188,CHAN-HOM,['WP'],2020,2020-10-04 18:00:00.000040,2020-10-12 12:00:00.000040,304
189,LINFA,['WP'],2020,2020-10-10 00:00:00.000040,2020-10-12 00:00:00.000040,305
190,NANGKA,['WP'],2020,2020-10-11 18:00:00.000040,2020-10-14 12:00:00.000040,306
191,EPSILON,['NA'],2020,2020-10-16 00:00:00.000040,2020-10-26 00:00:00.000040,307
192,SAUDEL,['WP'],2020,2020-10-19 00:00:00.000040,2020-10-26 06:00:00.000040,308
193,ZETA,['NA'],2020,2020-10-20 00:00:00.000040,2020-10-29 18:00:00.000040,309
194,NOT_NAMED,['WP'],2020,2020-10-20 12:00:00.000040,2020-10-21 12:00:00.000040,310
195,MOLAVE,['WP'],2020,2020-10-24 00:00:00.000040,2020-10-28 06:00:00.000040,311
196,GONI,['WP'],2020,2020-10-28 00:00:00.000040,2020-11-06 06:00:00.000040,312
197,ETA,['NA'],2020,2020-10-29 00:00:00.000040,2020-11-13 06:00:00.000040,313
198,ATSANI,['WP'],2020,2020-10-29 12:00:00.000040,2020-11-07 12:00:00.000040,314
199,ODALYS,['EP'],2020,2020-11-01 18:00:00.000040,2020-11-06 00:00:00.000040,315
200,THETA,['NA'],2020,2020-11-07 18:00:00.000040,2020-11-15 12:00:00.000040,316
201,VAMCO,['WP'],2020,2020-11-09 06:00:00.000040,2020-11-15 12:00:00.000040,317
202,ETAU,['WP'],2020,2020-11-08 12:00:00.000040,2020-11-10 18:00:00.000040,318
203,POLO,['EP'],2020,2020-11-12 18:00:00.000040,2020-11-19 18:00:00.000040,319
204,IOTA,['NA'],2020,2020-11-12 12:00:00.000040,2020-11-18 12:00:00.000040,320
205,ALICIA,['SI'],2020,2020-11-14 00:00:00.000040,2020-11-18 06:00:00.000040,321
206,GATI,['NI'],2020,2020-11-21 18:00:00.000040,2020-11-25 00:00:00.000040,322
207,NIVAR,['NI'],2020,2020-11-23 12:00:00.000040,2020-11-26 12:00:00.000040,323
208,BUREVI,['NI'],2020,2020-12-01 12:00:00.000040,2020-12-05 18:00:00.000040,324
209,BONGOYO,['SI'],2020,2020-12-07 12:00:00.000040,2020-12-12 00:00:00.000040,325
210,NOT_NAMED,['SI'],2020,2020-12-08 18:00:00.000040,2020-12-11 06:00:00.000040,326
211,NOT_NAMED,['SP'],2020,2020-12-11 00:00:00.000040,2020-12-12 12:00:00.000040,327
212,YASA,['SP'],2020,2020-12-12 12:00:00.000040,2020-12-19 18:00:00.000040,328
213,ZAZU,['SP'],2020,2020-12-13 12:00:00.000040,2020-12-16 18:00:00.000040,329
214,KROVANH,['WP'],2020,2020-12-20 00:00:00.000040,2020-12-23 18:00:00.000040,330
215,CHALANE,['SI'],2020,2020-12-25 00:00:00.000040,2020-12-30 00:00:00.000040,331
