name,basin,year,t0,tf,findex,usimpact,canadaimpact,mexicoimpact
FERNAND,['NA'],2019,9/3/19 6:00,9/5/19 0:00,2227,no,no,yes
HUMBERTO,['NA'],2019,9/12/19 12:00,9/20/19 12:00,2228,no,no,no
JERRY,['NA'],2019,9/17/19 0:00,9/28/19 0:00,2229,no,no,no
IMELDA,['NA'],2019,9/17/19 12:00,9/19/19 0:00,2230,yes,no,no
KAREN,['NA'],2019,9/22/19 0:00,9/27/19 12:00,2231,yes,no,no
LORENZO,['NA'],2019,9/22/19 18:00,10/4/19 6:00,2232,no,no,no
MELISSA,['NA'],2019,10/8/19 18:00,10/14/19 18:00,2233,no,no,no
FIFTEEN,['NA'],2019,10/14/19 12:00,10/17/19 12:00,2234,no,no,no
NESTOR,['NA'],2019,10/17/19 12:00,10/21/19 0:00,2235,yes,no,no
PABLO,['NA'],2019,10/23/19 18:00,10/29/19 0:00,2236,no,no,no
OLGA,['NA'],2019,10/25/19 12:00,10/27/19 18:00,2237,yes,no,no
REBEKAH,['NA'],2019,10/27/19 0:00,11/1/19 12:00,2238,no,no,no
SEBASTIEN,['NA'],2019,11/19/19 6:00,11/27/19 12:00,2239,no,no,no
